session_id,driver_name,lap_number,time_s,distance_m,speed_kmh,rpm,throttle_percent,brake_pressure_bar,steering_angle_deg,lateral_g,longitudinal_g,gear
1,Sébastien Loeb,5,0.0,0.0,32.7,3725,17.5,0.0,-6.4,-0.07,-0.12,4
1,Sébastien Loeb,5,0.10015408320493066,1.4329738058551618,32.0,3766,49.5,0.7,-22.5,-0.21,-0.08,3
1,Sébastien Loeb,5,0.20030816640986132,2.8659476117103235,35.3,3863,44.6,0.0,-7.3,-0.09,0.07,3
1,Sébastien Loeb,5,0.30046224961479195,4.298921417565485,33.3,3765,19.3,0.0,7.5,0.16,-0.04,3
1,Sébastien Loeb,5,0.40061633281972264,5.731895223420647,34.9,3870,42.3,0.0,9.3,0.06,-0.04,4
1,Sébastien Loeb,5,0.5007704160246533,7.164869029275809,33.9,3976,13.7,1.5,9.2,-0.04,-0.0,3
1,Sébastien Loeb,5,0.6009244992295839,8.59784283513097,31.4,3570,46.4,0.0,18.5,0.13,-0.12,3
1,Sébastien Loeb,5,0.7010785824345146,10.030816640986131,35.7,3933,49.9,0.3,3.3,0.06,-0.12,2
1,Sébastien Loeb,5,0.8012326656394453,11.463790446841294,34.2,3691,19.0,2.1,14.1,0.12,-0.07,4
1,Sébastien Loeb,5,0.901386748844376,12.896764252696457,35.2,3709,18.3,0.0,24.0,0.02,0.09,3
1,Sébastien Loeb,5,1.0015408320493067,14.329738058551618,33.2,3622,18.5,0.0,15.9,0.01,-0.07,1
1,Sébastien Loeb,5,1.1016949152542372,15.762711864406779,34.3,3943,57.7,0.8,0.2,-0.07,0.25,4
1,Sébastien Loeb,5,1.2018489984591678,17.19568567026194,38.1,3981,43.3,0.0,6.1,-0.01,0.14,3
1,Sébastien Loeb,5,1.3020030816640986,18.628659476117104,35.3,3876,16.4,2.8,34.7,0.23,-0.01,1
1,Sébastien Loeb,5,1.4021571648690292,20.061633281972263,36.1,3883,15.0,0.0,44.8,0.25,-0.02,3
1,Sébastien Loeb,5,1.50231124807396,21.494607087827426,32.5,3756,53.2,0.0,43.2,0.25,0.1,3
1,Sébastien Loeb,5,1.6024653312788906,22.92758089368259,39.8,4295,62.4,0.4,30.8,0.29,0.13,4
1,Sébastien Loeb,5,1.7026194144838211,24.36055469953775,38.7,3859,16.3,0.0,10.9,0.12,-0.07,2
1,Sébastien Loeb,5,1.802773497688752,25.793528505392914,37.7,3962,16.3,0.0,30.5,0.14,-0.06,4
1,Sébastien Loeb,5,1.9029275808936825,27.226502311248073,36.7,3939,15.1,0.0,55.7,0.16,-0.16,3
1,Sébastien Loeb,5,2.0030816640986133,28.659476117103235,35.0,3855,18.6,1.8,43.2,0.14,-0.24,1
1,Sébastien Loeb,5,2.1032357473035437,30.092449922958398,35.9,3734,47.4,1.6,32.5,0.14,0.15,4
1,Sébastien Loeb,5,2.2033898305084745,31.525423728813557,37.1,4081,16.1,0.7,46.6,0.32,-0.02,3
1,Sébastien Loeb,5,2.3035439137134053,32.95839753466872,33.7,3816,14.6,0.0,19.8,0.1,-0.05,2
1,Sébastien Loeb,5,2.4036979969183356,34.39137134052388,34.1,3807,16.3,0.8,30.0,0.08,0.0,3
1,Sébastien Loeb,5,2.5038520801232664,35.824345146379045,31.7,3567,18.8,0.0,25.8,0.06,-0.09,4
1,Sébastien Loeb,5,2.6040061633281972,37.25731895223421,33.5,3966,64.0,0.7,50.7,0.25,0.02,2
1,Sébastien Loeb,5,2.704160246533128,38.69029275808937,38.3,3952,43.2,0.2,56.0,0.37,-0.01,2
1,Sébastien Loeb,5,2.8043143297380584,40.123266563944526,34.3,3980,12.9,0.0,44.6,0.38,0.06,2
1,Sébastien Loeb,5,2.904468412942989,41.55624036979969,34.4,3621,44.7,0.0,35.4,0.16,-0.09,2
1,Sébastien Loeb,5,3.00462249614792,42.98921417565485,35.6,3893,15.3,0.7,49.7,0.24,-0.31,3
1,Sébastien Loeb,5,3.1047765793528503,44.422187981510014,31.8,3675,44.5,0.0,44.3,0.1,-0.03,3
1,Sébastien Loeb,5,3.204930662557781,45.85516178736518,36.9,4033,60.7,0.0,41.2,0.4,0.22,2
1,Sébastien Loeb,5,3.305084745762712,47.28813559322034,37.5,3877,18.0,0.0,59.7,0.16,-0.19,2
1,Sébastien Loeb,5,3.4052388289676423,48.7211093990755,35.8,3779,42.8,0.0,44.8,0.34,-0.1,2
1,Sébastien Loeb,5,3.505392912172573,50.154083204930664,38.3,4055,13.9,3.1,34.2,0.13,-0.04,4
1,Sébastien Loeb,5,3.605546995377504,51.58705701078583,32.3,3450,41.4,0.0,39.0,0.14,0.26,2
1,Sébastien Loeb,5,3.7057010785824342,53.02003081664098,38.7,4074,44.3,0.0,36.6,0.07,-0.11,4
1,Sébastien Loeb,5,3.805855161787365,54.453004622496145,33.5,3854,8.8,16.9,65.9,0.57,-0.25,3
1,Sébastien Loeb,5,3.906009244992296,55.88597842835131,32.4,3670,43.6,0.0,65.9,0.35,0.05,2
1,Sébastien Loeb,5,4.006163328197227,57.31895223420647,34.5,3990,62.7,0.0,66.6,0.34,0.24,4
