timestamp,X,Y,Z
1764067951472,-0.001571,0.000125,-0.001805
1764067951482,-0.002977,0.002185,0.001472
1764067951492,-0.00245,-0.000185,0.000291
1764067951502,-0.00073,0.001745,-0.000719
1764067951512,-0.003446,-0.000563,-0.000415
1764067951522,-0.000803,0.001953,-0.001311
1764067951532,-0.00071,0.002446,-0.000231
1764067951542,0.002481,0.004055,-0.000905
1764067951552,-0.001266,0.000009,-0.000951
1764067951562,0.000527,0.001765,-0.000189
1764067951573,-0.002354,0.003225,0.001892
1764067951583,-0.00084,0.001173,0.002028
1764067951593,-0.004854,0.00262,-0.001621
1764067951603,-0.004317,0.00291,0.000499
1764067951613,-0.000651,0.000986,0.001465
1764067951623,-0.002596,0.002141,0.000305
1764067951633,0.001162,0.000716,0.002084
1764067951643,-0.000769,0.000702,0.000067
1764067951653,-0.001813,0.002255,-0.001156
1764067951663,-0.000757,0.001291,0.000357
1764067951673,-0.003735,0.001128,0.000042
1764067951683,-0.001574,0.000533,-0.001123
1764067951693,0.001513,0.002177,-0.000023
1764067951703,0.002537,0.001725,0.000382
1764067951714,-0.001369,0.002355,0.001543
1764067951724,-0.002557,0.001826,0.001168
1764067951734,-0.002422,-0.000225,0.001159
1764067951744,-0.001634,-0.000121,-0.001862
1764067951754,-0.00256,0.000806,-0.000282
1764067951764,-0.000504,-0.000549,0.002266
1764067951774,-0.001729,0.003226,0.001305
1764067951784,-0.004265,0.000578,-0.00018
1764067951794,-0.000638,0.001842,-0.0016
1764067951804,-0.002765,0.002554,0.001172
1764067951814,0.002173,0.000834,0.000266
1764067951824,-0.00369,0.001078,-0.00103
1764067951834,-0.00345,0.002334,0.001443
1764067951844,-0.001453,0.003619,0.002172
1764067951855,-0.001319,0.002086,0.00075
1764067951865,-0.003559,0.000533,0.000315
1764067951875,-0.000627,0.001953,0.000126
1764067951885,-0.000999,0.002354,-0.00221
1764067951895,-0.004408,0.001446,-0.001259
1764067951905,-0.003661,0.002026,-0.001511
1764067951915,-0.003948,0.002005,-0.002326
1764067951925,-0.002231,0.003634,-0.001064
1764067951935,-0.003391,0.003599,-0.000553
1764067951945,0.001171,0.002591,0.002418
1764067951955,-0.000936,-0.000458,-0.000272
1764067951965,0.000474,-0.000514,-0.002333
1764067951975,0.002141,0.000721,0.00041
1764067951986,-0.002673,0.004481,0.001277
1764067951996,-0.000085,0.000928,0.002472
1764067952006,-0.004976,0.002499,0.002134
1764067952016,-0.001833,0.001129,-0.000516
1764067952026,0.001635,0.000893,0.000763
1764067952036,0.000738,0.001536,0.000032
1764067952046,-0.002398,0.002137,-0.002478
1764067952056,-0.004865,0.00406,0.000413
1764067952066,-0.001186,0.00169,-0.00022
1764067952076,-0.002231,0.00303,0.000161
1764067952086,-0.005883,0.003117,0.002416
1764067952096,-0.00196,0.001944,-0.00002
1764067952106,-0.001353,0.001546,-0.001392
1764067952116,-0.000728,-0.000184,0.001251
